GEOID,State,state_GEOID,county_name,mvi,Th1,Th2,Th3,Th4,Th5,Th6
2282,Alaska,2,Yakutat,48.58,17.38,52.98,36.55,94.52,16.43,78.32
2060,Alaska,2,Bristol Bay,41.17,27.76,64.85,30.31,71.47,13.66,58.9
2230,Alaska,2,Skagway Municipality,7.1,11.65,5.28,13.37,79.82,6.21,18.31
2164,Alaska,2,Lake and Peninsula,87.17,46.32,71.63,52.75,94.33,81.73,92.74
2105,Alaska,2,Hoonah-Angoon,52.82,7.04,68.58,39.73,85.04,43.17,69.63
2068,Alaska,2,Denali,27.54,38.14,6.75,32.7,79.15,36.58,21.71
2275,Alaska,2,Wrangell,38.4,15.73,66.63,16.01,85.71,14.65,56.89
2100,Alaska,2,Haines,12.45,12.03,9.36,18.91,77.65,23.02,14.87
2195,Alaska,2,Petersburg,36.8,15.03,16.21,13.72,92.04,35.15,77.05
2013,Alaska,2,Aleutians East,47.12,20.25,60.11,9.81,91.05,51.1,59.18
2070,Alaska,2,Dillingham,75.42,11.46,59.69,53.45,91.91,86.85,92.1
2290,Alaska,2,Yukon-Koyukuk,77.65,23.37,63.61,59.15,80.45,91.12,86.91
2016,Alaska,2,Aleutians West,34.48,18.78,25.95,9.77,79.66,22.32,81.15
2198,Alaska,2,Prince of Wales-Hyder(CA),59.25,17.8,67.94,44.57,90.61,38.59,78.57
2240,Alaska,2,Southeast Fairbanks,43.01,35.12,27.25,28.56,78.99,51.86,52.53
2188,Alaska,2,Northwest Arctic,80.04,6.53,80.93,60.3,96.28,96.37,73.26
2158,Alaska,2,Kusilvak,70.55,19.45,19.61,66.44,95.38,98.38,78.83
2220,Alaska,2,Sitka,5.28,4.9,4.39,21.3,42.82,15.95,35.4
2261,Alaska,2,Valdez-Cordova,17.1,2.42,25.88,16.71,67.24,13.53,50.43
2185,Alaska,2,North Slope,58.13,9.07,45.34,35.34,84.15,65.84,94.24
2180,Alaska,2,Nome,75.42,7.58,62.75,62.27,85.99,86.53,90.35
2150,Alaska,2,Kodiak Island,15.44,7.7,14.17,3.25,52.63,20.92,70.33
2130,Alaska,2,Ketchikan Gateway,23.56,9.46,41.39,20.79,38.36,36.77,53.84
2050,Alaska,2,Bethel,73.83,8.02,61.48,63.93,84.37,97.01,73.58
2110,Alaska,2,Juneau,5.89,0.8,8.15,27.35,50.46,21.01,20.38
2122,Alaska,2,Kenai Peninsula,42.85,0.92,32.79,30.66,97.84,29.26,82.36
2090,Alaska,2,Fairbanks North Star,4.55,2.04,10.41,12.64,40.75,11.49,41.8
2170,Alaska,2,Matanuska-Susitna,19.52,5.99,18.21,29.8,71.92,26.01,34
2020,Alaska,2,Anchorage,12.8,0.6,28.69,19.26,34.99,32.41,41.23
1063,Alabama,1,Greene,96.72,33.4,98.03,93.35,74.05,93.38,96.12
1105,Alabama,1,Perry,98.69,51.54,97.96,98.82,96.56,72.65,91.37
1085,Alabama,1,Lowndes,98.82,43.49,99.68,92.68,91.75,83.06,99.97
1011,Alabama,1,Bullock,99.04,55.81,100,92.87,68.99,96.08,99.4
1131,Alabama,1,Wilcox,99.27,46.67,99.01,97.84,87.23,95.35,91.98
1037,Alabama,1,Coosa,89.43,63.83,97.45,96.63,76.7,46.83,67.14
1035,Alabama,1,Conecuh,98.47,53.17,97.52,97.52,91.85,84.18,82.94
1119,Alabama,1,Sumter,99.68,51.93,99.62,94.05,92.49,94.49,91.37
1023,Alabama,1,Choctaw,87.74,59.18,95.32,92.45,85.58,81.53,27.09
1027,Alabama,1,Clay,95.64,45.72,92.71,96.05,91.88,71.79,83.99
1041,Alabama,1,Crenshaw,80.2,48.58,90.89,94.91,95.35,61.13,23.24
1075,Alabama,1,Lamar,89.05,42.82,87.87,97.29,96.08,64.34,58.2
1065,Alabama,1,Hale,93.6,28.46,99.33,96.02,84.08,75.71,86.98
1029,Alabama,1,Cleburne,77.3,21.65,76.06,96.94,97.1,69.85,41.83
1057,Alabama,1,Fayette,88.32,34.99,88.6,98.15,82.55,60.24,79.21
1129,Alabama,1,Washington,89.02,58.8,87.11,99.04,88.48,79.11,33.94
1067,Alabama,1,Henry,87.81,60.74,90.16,86.76,79.88,49.47,74.18
1087,Alabama,1,Macon,90.35,38.9,99.71,81.18,53.3,80.04,99.62
1091,Alabama,1,Marengo,91.05,13.37,93.57,90.29,79.56,82.39,98.34
1013,Alabama,1,Butler,98.38,57.24,99.52,94.4,76.47,86.66,91.31
1107,Alabama,1,Pickens,92.01,32.44,98.09,97.93,88.38,97.74,47.82
1099,Alabama,1,Monroe,86.88,21.81,95.57,97.23,86.66,83,53.14
1007,Alabama,1,Bibb,78.1,16.52,85.32,97.36,93.41,57.56,56.29
1111,Alabama,1,Randolph,87.84,22.89,89.49,96.18,85.23,67.02,80.71
1133,Alabama,1,Winston,92.87,44.22,88.95,98.95,98.76,85.35,50.37
1025,Alabama,1,Clarke,89.94,35.28,95.67,95.57,80.29,81.92,61.7
1005,Alabama,1,Barbour,99.46,50.53,99.65,88,85.48,99.04,98.41
1019,Alabama,1,Cherokee,83.99,27.03,82.65,93.63,93.28,57.05,73.99
